"name","company","location","welfare","label","salaryMin","salaryMax","salaryMid","experience","education","companyType","companyLevel","companySize"
"00037-资深数据分析师/数据分析专家","云集","萧山区","“股票期权,发展空间”","电商 Hive MySQL Spark 数据分析","20","40","30","经验5-10年","本科","电商,移动互联网","上市公司","500-2000人"
"00130-数据分析专员","云集","建设二路","“股票期权,奖金丰厚,工作氛围好,行业独角兽”","运营","5","10","7.5","经验3-5年","本科","电商,移动互联网","上市公司","500-2000人"
"00680-数据分析","云集","建设二路","“发展前景好”","电商 数据分析 数据挖掘","15","30","22.5","经验3-5年","不限","电商,移动互联网","上市公司","500-2000人"
"BI数据分析/数据技术专家","清华同方物联网本部","西溪","“牛人多、薪资待遇好、发展空间大”","数据分析 数据仓库 数据库开发","30","60","45","经验5-10年","本科","移动互联网,信息安全","上市公司","500-2000人"
"BI数据分析师","呆萝卜","拱墅区","“大牛云集”","数据分析","25","45","35","经验3-5年","大专","移动互联网,电商","A轮","500-2000人"
"BI数据分析师","呆萝卜","拱墅区","“新零售赛道 成熟商业模式”","电商 新零售","25","45","35","经验3-5年","本科","移动互联网,电商","A轮","500-2000人"
"bi数据分析师","年糕妈妈","西湖区","“双休,六险一金,团队氛围棒,体检”","电商","10","20","15","经验3-5年","本科","移动互联网,电商","B轮","150-500人"
"BI数据分析师","钾呈信息","西溪","“年终奖、补充保险、餐补、交通补助”","数据分析","30","50","40","经验5-10年","本科","移动互联网,电商","不需要融资","150-500人"
"DataAnalyst数据分析","美国道富","西湖区","“国际化办公环境，年假多，福利全面”","分析师","15","20","17.5","经验5-10年","本科","金融","上市公司","2000人以上"
"IT数据分析专员","杭州悠可","白杨","“13薪 早9晚6 一年2次晋升机会”","电商 数据分析 数据处理 MySQL SQLServer","6","8","7","经验1-3年","本科","电商","上市公司","500-2000人"
"初级金融、互联网 数据分析挖掘机器学习研究岗","长亮科技","江南","“金融科技,学习环境,提升空间,大平台”","算法 数据挖掘 数据分析","10","20","15","经验1-3年","硕士","企业服务","上市公司","2000人以上"
"助理数据分析师","盛锋咨询","湖墅南路","“周末双休，不加班，政府项目，”","数据分析 MySQL","3","5","4","经验1年以下","本科","数据服务","未融资","50-150人"
"医学数据分析实习生 (MJ001868)","依图科技","西溪","“学习能力强，对接专家”","医疗健康 大数据","3","5","4","经验应届毕业生","本科","数据服务","C轮","150-500人"
"医药数据分析","康策网络","仓前","“朝九晚五,五险一金,期权”","大数据 医疗健康","15","30","22.5","经验1-3年","本科","移动互联网,医疗丨健康","不需要融资","150-500人"
"商业数据分析","盛锋咨询","湖墅南路","“周末双休，不加班，政府项目，”","MySQL 数据分析","6","8","7","经验3-5年","本科","数据服务","未融资","50-150人"
"商业数据分析专家BI","红移趋势","西溪","“五险一金、年终奖、商业保险、年度体检”","支付 MySQL Java","17","25","21","经验3-5年","本科","移动互联网,文娱丨内容","A轮","50-150人"
"商业数据分析总监","网易","长河","“一日三餐，五险一金”","电商 BI 商业","40","69","54.5","经验5-10年","本科","电商","上市公司","2000人以上"
"商业数据分析高级专家","阿里健康","仓前","“上市公司”","电商 医疗健康 商业 可视化 数据分析 数据运营","30","40","35","经验5-10年","硕士","移动互联网,电商","上市公司","500-2000人"
"商品数据分析","云豆科技","西兴","“扁平化管理、期权股权、弹性工作制”","数据分析 效果跟踪 跨境电商","8","10","9","经验1-3年","大专","移动互联网,电商","B轮","150-500人"
"大数据分析与模型建设岗","泰隆银行","望江","“薪酬丰厚、亲情a+b”","大数据 数据分析","25","30","27.5","经验1-3年","本科","金融","不需要融资","2000人以上"
"大数据分析工程师","微选","西湖区","“发展空间大”","电商 新零售","15","22","18.5","经验5-10年","不限","移动互联网,电商","未融资","150-500人"
"大数据分析师","爱财集团","西溪","“周末双休 五险一金 大平台 餐补”","商业 数据分析","15","30","22.5","经验3-5年","不限","金融","C轮","500-2000人"
"大数据分析项目经理","安恒信息","西兴","“五险一金 带薪年假 国内外旅游”","信息安全","15","20","17.5","经验3-5年","本科","信息安全,数据服务","D轮及以上","500-2000人"
