"ID","name","company","location","welfare","label","salaryMin","salaryMax","salaryMid","experience","education","companyType","companyLevel","companySize"
1,"数据分析师（电商）","未来集市","杭州·西溪","“电商独角兽、发展空间大，16-22薪”","电商 BI 数据分析","12","24","18","经验3-5年","本科","移动互联网","不需要融资","500-2000人"
2,"数据分析师","阿卡索外教网","深圳·国贸","“扁平管理，领导nice”","数据分析 数据运营","12","20","16","经验3-5年","本科","教育,移动互联网","C轮","2000人以上"
3,"数据分析","麦子金服","上海·浦东新…","“交通便利,领导好,水果提供,餐补”","数据运营","15","25","20","经验3-5年","本科","金融","A轮","500-2000人"
4,"数据分析师","mobike摩拜单车","北京·望京","“发展前景”","SQL BI 商业","15","25","20","经验3-5年","本科","汽车丨出行","D轮及以上","150-500人"
5,"数据分析师","杭州抖抖智能科技有限公司","杭州·西兴","“入职五险一金、双休、午餐、下午茶”","移动互联网 数据分析 SQL","6","10","8","经验1-3年","本科","移动互联网,金融","不需要融资","50-150人"
6,"数据分析","鹏开信息","深圳·车公庙","“交通方便，假期多，加班少”","金融 电商","10","15","12.5","经验1-3年","本科","移动互联网,信息安全","不需要融资","500-2000人"
7,"数据分析师","轻易贷","北京·海淀区","“弹性工作制 上市集团 最高16薪”","数据分析 BI 数据运营","12","20","16","经验1-3年","本科","金融","上市公司","2000人以上"
8,"数据分析师（消费品行业）","polosport服饰","杭州·仓前","“五险一金 带薪年假 餐补 扁平化组织”","电商 数据分析 数据运营 SPSS 商业","6","10","8","经验1-3年","不限","数据服务,移动互联网","不需要融资","50-150人"
9,"数据分析师","房价网","上海·张江","“平台好,待遇好,老板好,机会多”","BI 可视化 数据运营 数据分析","15","30","22.5","经验3-5年","本科","移动互联网,数据服务","B轮","50-150人"
10,"数据分析师","蛋壳公寓","北京·朝阳门","“年底双薪／弹性工作制”","BI 数据分析 数据运营","30","55","42.5","经验5-10年","本科","消费生活","C轮","2000人以上"
11,"数据分析","乐逗游戏","深圳·科技园","“领导好”","游戏","15","25","20","经验5-10年","本科","游戏","上市公司","500-2000人"
12,"数据分析师","CloudIn","北京·朝阳区","“五险一金,福利好,地铁周边,试用全薪”","大数据 数据分析 可视化","20","40","30","经验3-5年","本科","移动互联网,数据服务","A轮","50-150人"
13,"数据分析工程师","极验","武汉·东湖新…","“有挑战性,技术先驱,大牛队友”","大数据 数据挖掘 数据分析","12","18","15","经验应届毕业生","本科","信息安全,数据服务","B轮","50-150人"
